100;19;1;19;0;9
101;28;1;6;0;1
102;29;1;35;0;11
103;27;1;33;0;14
104;40;1;18;0;6
105;39;1;3;0;7
106;46;1;13;0;1
107;44;1;10;0;6
108;42;1;37;0;13
109;30;1;12;0;8
110;36;1;14;0;8
111;35;1;26;0;1
112;33;1;35;0;3
113;37;1;17;0;3
114;19;1;5;2;0
115;28;1;12;0;10
116;29;1;25;0;2
117;27;1;19;0;12
118;40;1;14;2;11
119;39;1;15;0;6
120;46;1;15;0;5
121;44;1;16;0;9
122;42;1;20;0;3
123;30;1;27;0;5
124;36;1;33;0;2
125;35;1;35;0;8
126;33;1;25;0;1
127;37;1;5;0;11
128;19;1;25;2;7
129;28;1;2;0;14
130;29;1;11;0;5
131;27;1;0;2;11
132;40;1;16;0;14
133;39;1;9;0;6
134;46;1;22;0;9
135;44;1;26;0;6
136;42;1;15;0;13
137;30;1;23;0;9
138;36;1;37;0;7
139;35;1;27;0;5
140;33;1;13;0;2
141;37;1;20;0;8
142;19;1;8;0;1
143;28;1;12;0;11
144;29;1;35;2;13
145;27;1;4;0;0
146;40;1;4;0;14
147;39;1;39;0;4
148;46;1;34;0;10
149;44;1;29;0;5
150;42;1;17;0;2
151;30;1;37;0;12
152;36;1;5;0;12
153;35;1;2;0;6
154;33;1;12;0;11
155;37;1;33;0;3
156;19;1;38;0;0
157;28;1;12;0;2
158;29;1;23;2;2
159;27;1;0;0;0
160;40;1;14;0;1
161;39;1;37;0;13
162;46;1;21;0;13
163;44;1;30;0;5
164;42;1;34;0;1
165;30;1;24;0;7
166;36;1;12;0;3
167;35;1;23;0;7
168;33;1;10;0;6
169;37;1;23;0;9
